onset	duration	trial_type	response_time	correct
8.8	2.2	indoor_corr_1	0.799	corr
11.0	2.2	indoor_corr_1	0.719	corr
13.2	2.2	outdoor_corr_1	0.580	corr
15.4	2.2	indoor_corr_1	0.595	corr
17.6	2.2	outdoor_corr_1	0.563	corr
22.0	2.2	indoor_corr_1	0.842	corr
26.4	2.2	indoor_corr_1	0.900	corr
30.8	2.2	outdoor_corr_1	0.896	corr
33.0	2.2	outdoor_corr_1	0.880	corr
37.4	2.2	outdoor_corr_1	0.740	corr
39.6	2.2	outdoor_corr_1	0.713	corr
46.2	2.2	indoor_corr_1	0.903	corr
52.8	2.2	indoor_corr_1	0.673	corr
55.0	2.2	indoor_corr_1	0.757	corr
57.2	2.2	outdoor_corr_1	0.681	corr
59.4	2.2	indoor_corr_1	0.909	corr
63.8	2.2	indoor_corr_1	0.841	corr
66.0	2.2	outdoor_corr_1	0.660	corr
70.4	2.2	indoor_corr_1	0.664	corr
74.8	2.2	outdoor_corr_1	0.745	corr
79.2	2.2	indoor_corr_1	1.107	corr
81.4	2.2	outdoor_corr_1	0.882	corr
83.6	2.2	outdoor_corr_1	1.057	corr
85.8	2.2	outdoor_corr_1	0.675	corr
90.2	2.2	indoor_corr_2	0.801	corr
92.4	2.2	outdoor_corr_2	0.683	corr
94.6	2.2	outdoor_corr_2	0.818	corr
96.8	2.2	outdoor_corr_2	0.651	corr
101.2	2.2	err	0.824	err
103.4	2.2	indoor_corr_2	1.143	corr
110.0	2.2	outdoor_corr_2	0.703	corr
112.2	2.2	outdoor_corr_2	0.823	corr
114.4	2.2	indoor_corr_2	0.653	corr
118.8	2.2	indoor_corr_2	0.866	corr
121.0	2.2	indoor_corr_2	0.898	corr
125.4	2.2	indoor_corr_2	0.938	corr
132.0	2.2	outdoor_corr_2	0.725	corr
134.2	2.2	indoor_corr_2	1.109	corr
138.6	2.2	outdoor_corr_2	1.081	corr
140.8	2.2	outdoor_corr_2	0.887	corr
143.0	2.2	outdoor_corr_2	0.911	corr
147.4	2.2	indoor_corr_2	1.133	corr
151.8	2.2	indoor_corr_2	0.786	corr
154.0	2.2	outdoor_corr_2	0.955	corr
156.2	2.2	outdoor_corr_2	0.654	corr
158.4	2.2	indoor_corr_2	0.662	corr
162.8	2.2	outdoor_corr_2	0.771	corr
165.0	2.2	indoor_corr_2	0.772	corr
167.2	2.2	indoor_corr_3	0.740	corr
169.4	2.2	indoor_corr_3	0.801	corr
171.6	2.2	indoor_corr_3	0.747	corr
180.4	2.2	indoor_corr_3	0.776	corr
182.6	2.2	outdoor_corr_3	0.638	corr
184.8	2.2	outdoor_corr_3	0.825	corr
187.0	2.2	indoor_corr_3	0.908	corr
189.2	2.2	indoor_corr_3	0.878	corr
191.4	2.2	outdoor_corr_3	0.686	corr
193.6	2.2	outdoor_corr_3	0.746	corr
195.8	2.2	outdoor_corr_3	0.676	corr
204.6	2.2	indoor_corr_3	0.976	corr
206.8	2.2	outdoor_corr_3	0.874	corr
209.0	2.2	outdoor_corr_3	0.709	corr
215.6	2.2	outdoor_corr_3	0.797	corr
217.8	2.2	indoor_corr_3	0.665	corr
220.0	2.2	outdoor_corr_3	0.646	corr
224.4	2.2	outdoor_corr_3	1.026	corr
228.8	2.2	indoor_corr_3	1.283	corr
231.0	2.2	indoor_corr_3	0.781	corr
233.2	2.2	indoor_corr_3	0.945	corr
237.6	2.2	outdoor_corr_3	0.624	corr
239.8	2.2	outdoor_corr_3	0.796	corr
244.2	2.2	indoor_corr_3	0.677	corr
