onset	duration	trial_type	response_time	correct
52.8	2.2	NV_startcue	n/a	n/a
70.4	121.0	NV_sustained	n/a	n/a
61.6	0.3	Verb	1.668	corr
66.0	0.3	Noun	1.039	corr
68.2	0.3	Verb	1.137	corr
72.6	0.3	Verb	n/a	NoResponse
77.0	0.3	Noun	n/a	NoResponse
79.2	0.3	Verb	0.112	err
83.6	0.3	Noun	1.281	corr
85.8	0.3	Noun	0.805	corr
90.2	0.3	Noun	1.217	corr
92.4	0.3	Verb	1.175	corr
94.6	0.3	Noun	n/a	NoResponse
99.0	0.3	Verb	0.883	corr
105.6	0.3	Noun	1.009	corr
110.0	0.3	Verb	0.920	corr
118.8	0.3	Noun	2.006	corr
123.2	0.3	Verb	1.283	corr
125.4	0.3	Noun	n/a	NoResponse
132.0	0.3	Noun	1.617	corr
136.4	0.3	Noun	1.010	corr
145.2	0.3	Verb	1.278	corr
147.4	0.3	Verb	1.224	corr
154.0	0.3	Verb	0.908	corr
156.2	0.3	Verb	0.798	corr
158.4	0.3	Noun	1.043	corr
165.0	0.3	Noun	1.366	corr
173.8	0.3	Verb	1.382	corr
176.0	0.3	Noun	1.174	corr
178.2	0.3	Noun	1.152	err
187.0	0.3	Verb	1.231	corr
189.2	0.3	Verb	0.944	corr
191.4	2.2	NV_endcue	n/a	n/a
237.6	2.2	Glass_startcue	n/a	n/a
255.2	121.0	Glass_sustained	n/a	n/a
242.0	0.3	Glass_coherent	0.843	corr
244.2	0.3	Glass_coherent	0.739	corr
246.4	0.3	Glass_random	0.825	corr
255.2	0.3	Glass_random	1.384	corr
264.0	0.3	Glass_random	1.452	corr
266.2	0.3	Glass_random	0.944	corr
268.4	0.3	Glass_coherent	0.786	corr
272.8	0.3	Glass_coherent	0.715	corr
275.0	0.3	Glass_random	0.665	corr
279.4	0.3	Glass_coherent	0.601	corr
281.6	0.3	Glass_coherent	1.517	corr
286.0	0.3	Glass_coherent	0.690	corr
288.2	0.3	Glass_coherent	0.647	corr
290.4	0.3	Glass_random	0.870	corr
297.0	0.3	Glass_random	0.825	corr
305.8	0.3	Glass_random	1.137	corr
312.4	0.3	Glass_random	1.436	corr
314.6	0.3	Glass_random	0.925	corr
319.0	0.3	Glass_random	1.227	corr
321.2	0.3	Glass_coherent	0.619	corr
330.0	0.3	Glass_coherent	1.705	corr
336.6	0.3	Glass_coherent	1.379	corr
343.2	0.3	Glass_random	0.709	corr
345.4	0.3	Glass_coherent	0.730	corr
347.6	0.3	Glass_coherent	1.984	corr
356.4	0.3	Glass_coherent	0.925	corr
360.8	0.3	Glass_random	0.889	corr
365.2	0.3	Glass_coherent	0.689	corr
369.6	0.3	Glass_random	0.746	corr
371.8	0.3	Glass_random	0.808	corr
376.2	2.2	Glass_endcue	n/a	n/a
