onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
59.4	0.3	Glass_random	0.755	corr
61.6	0.3	Glass_coherent	0.479	err
63.8	0.3	Glass_random	0.687	corr
70.4	0.3	Glass_coherent	0.523	corr
79.2	0.3	Glass_coherent	0.719	corr
81.4	0.3	Glass_random	0.587	corr
85.8	0.3	Glass_random	0.672	corr
94.6	0.3	Glass_random	0.560	corr
99.0	0.3	Glass_coherent	0.735	corr
101.2	0.3	Glass_coherent	0.534	corr
105.6	0.3	Glass_coherent	0.553	corr
107.8	0.3	Glass_random	0.596	corr
110.0	0.3	Glass_coherent	0.590	corr
114.4	0.3	Glass_random	0.694	corr
121.0	0.3	Glass_random	0.602	corr
123.2	0.3	Glass_coherent	0.452	corr
125.4	0.3	Glass_coherent	0.567	corr
129.8	0.3	Glass_random	0.627	corr
132.0	0.3	Glass_random	0.625	corr
138.6	0.3	Glass_random	0.591	corr
145.2	0.3	Glass_coherent	0.687	corr
149.6	0.3	Glass_coherent	0.636	err
158.4	0.3	Glass_coherent	0.923	corr
160.6	0.3	Glass_random	0.535	corr
167.2	0.3	Glass_coherent	0.769	corr
171.6	0.3	Glass_random	0.596	corr
173.8	0.3	Glass_coherent	0.607	corr
180.4	0.3	Glass_coherent	0.544	corr
184.8	0.3	Glass_random	0.737	corr
187.0	0.3	Glass_random	0.724	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
244.2	0.3	Noun	0.806	corr
246.4	0.3	Noun	0.559	corr
253.0	0.3	Verb	0.700	corr
257.4	0.3	Verb	0.768	corr
259.6	0.3	Noun	0.827	corr
261.8	0.3	Noun	0.804	corr
266.2	0.3	Verb	0.724	corr
268.4	0.3	Verb	0.809	corr
275.0	0.3	Verb	1.000	corr
279.4	0.3	Verb	0.941	corr
281.6	0.3	Verb	1.170	corr
286.0	0.3	Noun	0.611	err
294.8	0.3	Noun	0.914	corr
297.0	0.3	Verb	0.732	corr
299.2	0.3	Noun	0.893	corr
308.0	0.3	Noun	0.693	corr
310.2	0.3	Verb	0.810	corr
314.6	0.3	Noun	0.776	corr
323.4	0.3	Noun	0.692	corr
325.6	0.3	Noun	0.923	corr
330.0	0.3	Verb	0.754	corr
332.2	0.3	Noun	0.717	corr
336.6	0.3	Verb	0.885	corr
338.8	0.3	Verb	0.792	err
345.4	0.3	Noun	1.196	corr
352.0	0.3	Noun	0.829	corr
354.2	0.3	Verb	0.951	corr
363.0	0.3	Verb	0.826	corr
369.6	0.3	Verb	0.823	corr
374.0	0.3	Noun	0.706	corr
376.2	2.2	NV_endcue	n/a	n/a
