onset	duration	trial_type	response_time	correct
8.8	2.2	err	1.494	err
11.0	2.2	outdoor_corr_1	1.209	corr
13.2	2.2	indoor_corr_1	0.981	corr
15.4	2.2	indoor_corr_1	0.950	corr
24.2	2.2	outdoor_corr_1	1.185	corr
26.4	2.2	indoor_corr_1	1.163	corr
30.8	2.2	indoor_corr_1	1.093	corr
33.0	2.2	err	1.386	err
37.4	2.2	indoor_corr_1	0.917	corr
41.8	2.2	outdoor_corr_1	1.029	corr
44.0	2.2	outdoor_corr_1	0.875	corr
46.2	2.2	outdoor_corr_1	0.649	corr
48.4	2.2	indoor_corr_1	1.177	corr
55.0	2.2	outdoor_corr_1	1.002	corr
57.2	2.2	outdoor_corr_1	1.175	corr
59.4	2.2	outdoor_corr_1	0.870	corr
61.6	2.2	indoor_corr_1	1.110	corr
68.2	2.2	outdoor_corr_1	0.898	corr
72.6	2.2	outdoor_corr_1	1.321	corr
74.8	2.2	outdoor_corr_1	0.905	corr
77.0	2.2	indoor_corr_1	1.147	corr
81.4	2.2	indoor_corr_1	1.048	corr
83.6	2.2	outdoor_corr_1	0.959	corr
85.8	2.2	indoor_corr_1	1.598	corr
88.0	2.2	outdoor_corr_2	0.809	corr
92.4	2.2	outdoor_corr_2	0.780	corr
94.6	2.2	indoor_corr_2	1.215	corr
96.8	2.2	indoor_corr_2	0.733	corr
101.2	2.2	indoor_corr_2	0.725	corr
103.4	2.2	indoor_corr_2	0.686	corr
110.0	2.2	outdoor_corr_2	0.915	corr
112.2	2.2	err	1.032	err
114.4	2.2	indoor_corr_2	0.789	corr
118.8	2.2	indoor_corr_2	0.823	corr
121.0	2.2	outdoor_corr_2	0.837	corr
125.4	2.2	outdoor_corr_2	1.278	corr
127.6	2.2	outdoor_corr_2	0.849	corr
132.0	2.2	indoor_corr_2	1.588	corr
136.4	2.2	indoor_corr_2	0.767	corr
140.8	2.2	indoor_corr_2	0.807	corr
145.2	2.2	outdoor_corr_2	0.923	corr
151.8	2.2	outdoor_corr_2	0.732	corr
154.0	2.2	outdoor_corr_2	1.368	corr
156.2	2.2	outdoor_corr_2	0.606	corr
158.4	2.2	indoor_corr_2	1.057	corr
160.6	2.2	indoor_corr_2	0.615	corr
162.8	2.2	outdoor_corr_2	0.766	corr
165.0	2.2	outdoor_corr_2	0.906	corr
167.2	2.2	outdoor_corr_3	0.855	corr
173.8	2.2	indoor_corr_3	0.978	corr
178.2	2.2	indoor_corr_3	0.827	corr
180.4	2.2	indoor_corr_3	0.738	corr
182.6	2.2	outdoor_corr_3	0.672	corr
184.8	2.2	indoor_corr_3	1.677	corr
187.0	2.2	indoor_corr_3	1.253	corr
191.4	2.2	outdoor_corr_3	1.868	corr
193.6	2.2	indoor_corr_3	1.172	corr
195.8	2.2	indoor_corr_3	1.004	corr
198.0	2.2	indoor_corr_3	1.022	corr
200.2	2.2	outdoor_corr_3	1.061	corr
206.8	2.2	outdoor_corr_3	0.954	corr
209.0	2.2	outdoor_corr_3	0.635	corr
215.6	2.2	outdoor_corr_3	0.722	corr
217.8	2.2	outdoor_corr_3	0.651	corr
222.2	2.2	outdoor_corr_3	0.836	corr
226.6	2.2	outdoor_corr_3	0.696	corr
231.0	2.2	indoor_corr_3	0.729	corr
233.2	2.2	indoor_corr_3	0.959	corr
235.4	2.2	err	1.189	err
237.6	2.2	outdoor_corr_3	0.832	corr
242.0	2.2	outdoor_corr_3	0.751	corr
244.2	2.2	indoor_corr_3	0.717	corr
