session_id	acq_time
ses-struct01	1895-05-31T00:38:34
ses-struct02	1895-06-01T00:05:18
ses-func01	1895-06-04T00:06:04
ses-func02	1895-06-07T00:06:23
ses-func03	1895-06-08T00:11:42
ses-func04	1895-06-09T00:12:51
ses-func05	1895-06-13T00:08:53
ses-func06	1895-06-14T00:12:11
ses-func07	1895-06-17T00:10:53
ses-func08	1895-06-22T00:09:54
ses-func09	1895-06-23T00:11:08
ses-func10	1895-06-24T00:08:24
ses-func11	1895-06-14T01:24:06
