onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
57.2	0.3	Glass_coherent	0.773	corr
61.6	0.3	Glass_random	0.710	corr
63.8	0.3	Glass_coherent	0.681	corr
66.0	0.3	Glass_random	0.687	corr
70.4	0.3	Glass_coherent	0.683	corr
74.8	0.3	Glass_random	0.761	corr
81.4	0.3	Glass_coherent	0.546	corr
83.6	0.3	Glass_random	0.691	corr
92.4	0.3	Glass_coherent	0.604	corr
94.6	0.3	Glass_coherent	0.610	corr
99.0	0.3	Glass_random	0.572	corr
103.4	0.3	Glass_coherent	0.588	corr
105.6	0.3	Glass_random	0.813	corr
107.8	0.3	Glass_coherent	0.726	corr
116.6	0.3	Glass_random	1.305	corr
123.2	0.3	Glass_random	0.807	corr
129.8	0.3	Glass_random	0.651	corr
138.6	0.3	Glass_coherent	0.668	corr
140.8	0.3	Glass_coherent	0.595	corr
143.0	0.3	Glass_coherent	0.644	corr
147.4	0.3	Glass_random	0.602	corr
151.8	0.3	Glass_random	0.621	corr
156.2	0.3	Glass_random	0.539	corr
158.4	0.3	Glass_random	0.626	corr
160.6	0.3	Glass_coherent	0.694	corr
169.4	0.3	Glass_coherent	0.766	corr
171.6	0.3	Glass_random	0.579	corr
176.0	0.3	Glass_coherent	0.650	corr
178.2	0.3	Glass_coherent	0.617	corr
187.0	0.3	Glass_random	0.769	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
246.4	0.3	Verb	0.950	corr
248.6	0.3	Verb	0.733	corr
253.0	0.3	Noun	1.011	corr
257.4	0.3	Noun	1.016	corr
259.6	0.3	Noun	0.919	corr
264.0	0.3	Verb	0.675	corr
266.2	0.3	Noun	1.545	corr
270.6	0.3	Verb	0.625	corr
277.2	0.3	Noun	0.704	corr
279.4	0.3	Verb	0.806	corr
283.8	0.3	Verb	0.659	corr
292.6	0.3	Verb	0.771	corr
297.0	0.3	Noun	1.228	corr
299.2	0.3	Noun	0.801	corr
308.0	0.3	Noun	0.934	corr
312.4	0.3	Noun	0.970	corr
316.8	0.3	Verb	0.671	corr
319.0	0.3	Noun	0.770	corr
327.8	0.3	Verb	1.046	corr
332.2	0.3	Verb	0.770	corr
336.6	0.3	Noun	0.733	corr
338.8	0.3	Verb	0.819	corr
343.2	0.3	Noun	0.763	corr
345.4	0.3	Noun	0.838	corr
349.8	0.3	Noun	1.067	err
352.0	0.3	Verb	1.099	corr
360.8	0.3	Verb	1.015	corr
363.0	0.3	Noun	0.770	corr
365.2	0.3	Verb	0.690	corr
374.0	0.3	Verb	0.673	corr
376.2	2.2	NV_endcue	n/a	n/a
