onset	duration	trial_type	response_time	correct
8.8	2.2	outdoor_corr_1	0.903	corr
11.0	2.2	outdoor_corr_1	0.806	corr
13.2	2.2	indoor_corr_1	0.830	corr
15.4	2.2	indoor_corr_1	0.774	corr
24.2	2.2	outdoor_corr_1	0.830	corr
26.4	2.2	outdoor_corr_1	0.748	corr
30.8	2.2	indoor_corr_1	0.846	corr
33.0	2.2	outdoor_corr_1	0.731	corr
37.4	2.2	indoor_corr_1	0.853	corr
41.8	2.2	indoor_corr_1	0.818	corr
44.0	2.2	outdoor_corr_1	0.812	corr
46.2	2.2	indoor_corr_1	0.839	corr
48.4	2.2	indoor_corr_1	0.820	corr
55.0	2.2	outdoor_corr_1	1.173	corr
57.2	2.2	indoor_corr_1	0.813	corr
59.4	2.2	outdoor_corr_1	0.835	corr
61.6	2.2	indoor_corr_1	0.830	corr
68.2	2.2	outdoor_corr_1	0.790	corr
72.6	2.2	indoor_corr_1	0.762	corr
74.8	2.2	outdoor_corr_1	0.882	corr
77.0	2.2	indoor_corr_1	0.842	corr
81.4	2.2	outdoor_corr_1	0.826	corr
83.6	2.2	indoor_corr_1	0.789	corr
85.8	2.2	outdoor_corr_1	0.696	corr
88.0	2.2	outdoor_corr_2	1.248	corr
92.4	2.2	outdoor_corr_2	0.854	corr
94.6	2.2	outdoor_corr_2	0.971	corr
96.8	2.2	outdoor_corr_2	1.080	corr
101.2	2.2	indoor_corr_2	0.635	corr
103.4	2.2	indoor_corr_2	0.765	corr
110.0	2.2	outdoor_corr_2	0.734	corr
112.2	2.2	outdoor_corr_2	1.028	corr
114.4	2.2	indoor_corr_2	0.786	corr
118.8	2.2	indoor_corr_2	0.837	corr
121.0	2.2	outdoor_corr_2	0.867	corr
125.4	2.2	outdoor_corr_2	0.980	corr
127.6	2.2	outdoor_corr_2	0.972	corr
132.0	2.2	outdoor_corr_2	0.694	corr
136.4	2.2	indoor_corr_2	0.732	corr
140.8	2.2	outdoor_corr_2	0.862	corr
145.2	2.2	indoor_corr_2	0.783	corr
151.8	2.2	indoor_corr_2	0.726	corr
154.0	2.2	outdoor_corr_2	0.795	corr
156.2	2.2	indoor_corr_2	0.742	corr
158.4	2.2	indoor_corr_2	0.692	corr
160.6	2.2	indoor_corr_2	0.899	corr
162.8	2.2	indoor_corr_2	0.785	corr
165.0	2.2	indoor_corr_2	0.883	corr
167.2	2.2	outdoor_corr_3	0.699	corr
173.8	2.2	indoor_corr_3	0.714	corr
178.2	2.2	outdoor_corr_3	0.715	corr
180.4	2.2	indoor_corr_3	0.785	corr
182.6	2.2	indoor_corr_3	0.851	corr
184.8	2.2	indoor_corr_3	0.713	corr
187.0	2.2	outdoor_corr_3	0.860	corr
191.4	2.2	outdoor_corr_3	0.857	corr
193.6	2.2	outdoor_corr_3	0.900	corr
195.8	2.2	indoor_corr_3	0.708	corr
198.0	2.2	indoor_corr_3	0.801	corr
200.2	2.2	indoor_corr_3	0.868	corr
206.8	2.2	indoor_corr_3	0.700	corr
209.0	2.2	outdoor_corr_3	0.767	corr
215.6	2.2	outdoor_corr_3	0.774	corr
217.8	2.2	indoor_corr_3	0.672	corr
222.2	2.2	indoor_corr_3	0.686	corr
226.6	2.2	outdoor_corr_3	0.680	corr
231.0	2.2	indoor_corr_3	0.736	corr
233.2	2.2	indoor_corr_3	1.024	corr
235.4	2.2	outdoor_corr_3	0.971	corr
237.6	2.2	outdoor_corr_3	0.983	corr
242.0	2.2	outdoor_corr_3	0.703	corr
244.2	2.2	outdoor_corr_3	0.769	corr
