onset	duration	trial_type	response_time	correct
52.8	2.2	NV_startcue	n/a	n/a
70.4	121.0	NV_sustained	n/a	n/a
61.6	0.3	Verb	0.995	corr
63.8	0.3	Verb	0.714	corr
68.2	0.3	Verb	1.087	corr
74.8	0.3	Noun	1.164	corr
77.0	0.3	Verb	1.133	corr
83.6	0.3	Noun	0.997	corr
85.8	0.3	Noun	1.190	corr
88.0	0.3	Noun	1.046	corr
92.4	0.3	Noun	0.908	corr
94.6	0.3	Verb	0.879	corr
96.8	0.3	Verb	0.824	corr
105.6	0.3	Verb	1.361	corr
110.0	0.3	Noun	1.362	corr
112.2	0.3	Verb	0.991	corr
116.6	0.3	Noun	1.632	corr
118.8	0.3	Noun	1.112	corr
125.4	0.3	Verb	1.438	corr
129.8	0.3	Noun	1.118	corr
134.2	0.3	Verb	0.942	corr
143.0	0.3	Noun	n/a	NoResponse
145.2	0.3	Verb	0.186	err
149.6	0.3	Noun	0.992	corr
158.4	0.3	Noun	1.432	corr
162.8	0.3	Noun	0.966	corr
171.6	0.3	Verb	1.113	corr
173.8	0.3	Noun	1.296	corr
176.0	0.3	Noun	1.427	corr
180.4	0.3	Verb	0.981	corr
184.8	0.3	Verb	1.175	corr
187.0	0.3	Verb	1.271	corr
191.4	2.2	NV_endcue	n/a	n/a
237.6	2.2	Glass_startcue	n/a	n/a
255.2	121.0	Glass_sustained	n/a	n/a
244.2	0.3	Glass_random	0.923	corr
250.8	0.3	Glass_random	1.066	corr
253.0	0.3	Glass_coherent	0.896	corr
255.2	0.3	Glass_coherent	0.913	corr
259.6	0.3	Glass_random	1.144	err
261.8	0.3	Glass_coherent	0.999	corr
268.4	0.3	Glass_coherent	0.824	corr
270.6	0.3	Glass_random	1.056	corr
275.0	0.3	Glass_random	0.833	err
281.6	0.3	Glass_random	0.922	err
288.2	0.3	Glass_coherent	0.794	corr
292.6	0.3	Glass_coherent	0.784	corr
294.8	0.3	Glass_coherent	0.714	corr
299.2	0.3	Glass_coherent	0.734	corr
303.6	0.3	Glass_random	1.053	corr
305.8	0.3	Glass_random	0.968	corr
312.4	0.3	Glass_random	1.070	corr
314.6	0.3	Glass_coherent	0.713	corr
316.8	0.3	Glass_random	1.125	corr
325.6	0.3	Glass_coherent	0.850	corr
330.0	0.3	Glass_random	1.109	err
332.2	0.3	Glass_coherent	0.883	corr
334.4	0.3	Glass_coherent	0.587	corr
343.2	0.3	Glass_random	0.885	err
347.6	0.3	Glass_coherent	0.753	corr
356.4	0.3	Glass_coherent	0.649	corr
358.6	0.3	Glass_random	0.789	corr
360.8	0.3	Glass_random	0.958	corr
369.6	0.3	Glass_random	0.925	corr
371.8	0.3	Glass_coherent	0.785	corr
376.2	2.2	Glass_endcue	n/a	n/a
