onset	duration	trial_type	response_time	correct
11.0	2.2	Concrete_corr_1	1.101	corr
13.2	2.2	Abstract_corr_1	1.278	corr
15.4	2.2	Abstract_corr_1	1.153	corr
17.6	2.2	Concrete_corr_1	1.473	corr
19.8	2.2	Concrete_corr_1	0.909	corr
26.4	2.2	err	1.401	err
33.0	2.2	Concrete_corr_1	0.887	corr
37.4	2.2	Abstract_corr_1	1.506	corr
39.6	2.2	Abstract_corr_1	1.690	corr
41.8	2.2	Concrete_corr_1	0.922	corr
44.0	2.2	Abstract_corr_1	1.075	corr
46.2	2.2	Concrete_corr_1	1.310	corr
50.6	2.2	Abstract_corr_1	1.343	corr
52.8	2.2	Abstract_corr_1	1.669	corr
57.2	2.2	Concrete_corr_1	0.864	corr
59.4	2.2	Abstract_corr_1	1.236	corr
61.6	2.2	Concrete_corr_1	0.821	corr
66.0	2.2	Abstract_corr_1	1.322	corr
68.2	2.2	Abstract_corr_1	1.400	corr
70.4	2.2	Concrete_corr_1	0.822	corr
72.6	2.2	Concrete_corr_1	0.621	corr
74.8	2.2	Abstract_corr_1	1.214	corr
79.2	2.2	Concrete_corr_1	1.020	corr
83.6	2.2	Concrete_corr_1	1.393	corr
88.0	2.2	err	1.222	err
90.2	2.2	Abstract_corr_2	1.286	corr
92.4	2.2	Concrete_corr_2	0.691	corr
101.2	2.2	Concrete_corr_2	0.708	corr
105.6	2.2	Abstract_corr_2	1.039	corr
107.8	2.2	Concrete_corr_2	1.380	corr
114.4	2.2	Abstract_corr_2	0.859	corr
116.6	2.2	Abstract_corr_2	1.541	corr
118.8	2.2	Concrete_corr_2	0.724	corr
121.0	2.2	Abstract_corr_2	1.376	corr
123.2	2.2	Abstract_corr_2	1.292	corr
125.4	2.2	Concrete_corr_2	1.584	corr
127.6	2.2	Concrete_corr_2	1.291	corr
132.0	2.2	Abstract_corr_2	1.360	corr
134.2	2.2	Concrete_corr_2	1.308	corr
138.6	2.2	Abstract_corr_2	0.981	corr
140.8	2.2	Abstract_corr_2	1.570	corr
143.0	2.2	Concrete_corr_2	1.267	corr
145.2	2.2	Concrete_corr_2	0.643	corr
147.4	2.2	Abstract_corr_2	0.696	corr
156.2	2.2	Concrete_corr_2	0.715	corr
158.4	2.2	Concrete_corr_2	0.723	corr
162.8	2.2	Concrete_corr_2	0.671	corr
165.0	2.2	Abstract_corr_2	0.694	corr
167.2	2.2	Abstract_corr_3	1.108	corr
173.8	2.2	Concrete_corr_3	0.724	corr
176.0	2.2	Abstract_corr_3	0.708	corr
178.2	2.2	Abstract_corr_3	1.040	corr
182.6	2.2	Concrete_corr_3	0.659	corr
184.8	2.2	Concrete_corr_3	0.646	corr
189.2	2.2	Concrete_corr_3	0.839	corr
191.4	2.2	Abstract_corr_3	0.977	corr
193.6	2.2	Abstract_corr_3	1.210	corr
195.8	2.2	Concrete_corr_3	0.749	corr
200.2	2.2	Concrete_corr_3	0.845	corr
204.6	2.2	Concrete_corr_3	0.693	corr
206.8	2.2	Abstract_corr_3	0.717	corr
213.4	2.2	Abstract_corr_3	1.033	corr
215.6	2.2	err	1.056	err
217.8	2.2	Concrete_corr_3	1.296	corr
220.0	2.2	Abstract_corr_3	0.860	corr
224.4	2.2	Abstract_corr_3	1.036	corr
228.8	2.2	Concrete_corr_3	0.757	corr
231.0	2.2	Concrete_corr_3	0.798	corr
235.4	2.2	err	1.201	err
239.8	2.2	Abstract_corr_3	1.458	corr
242.0	2.2	Concrete_corr_3	0.805	corr
244.2	2.2	Abstract_corr_3	0.805	corr
