onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
57.2	0.3	Glass_coherent	1.117	corr
59.4	0.3	Glass_coherent	1.495	corr
61.6	0.3	Glass_random	0.843	corr
70.4	0.3	Glass_random	0.994	corr
79.2	0.3	Glass_random	1.185	corr
81.4	0.3	Glass_random	0.828	corr
83.6	0.3	Glass_coherent	0.821	corr
88.0	0.3	Glass_coherent	1.268	corr
90.2	0.3	Glass_random	0.948	corr
94.6	0.3	Glass_coherent	0.992	corr
96.8	0.3	Glass_coherent	0.902	corr
101.2	0.3	Glass_coherent	1.050	corr
103.4	0.3	Glass_coherent	0.842	corr
105.6	0.3	Glass_random	0.931	corr
112.2	0.3	Glass_random	1.202	corr
121.0	0.3	Glass_random	1.299	corr
127.6	0.3	Glass_random	1.133	corr
129.8	0.3	Glass_random	0.787	corr
134.2	0.3	Glass_random	0.837	corr
136.4	0.3	Glass_coherent	1.429	err
145.2	0.3	Glass_coherent	0.948	corr
151.8	0.3	Glass_coherent	1.225	corr
158.4	0.3	Glass_random	1.039	corr
160.6	0.3	Glass_coherent	0.844	corr
162.8	0.3	Glass_coherent	0.838	corr
171.6	0.3	Glass_coherent	1.054	corr
176.0	0.3	Glass_random	1.611	corr
180.4	0.3	Glass_coherent	0.877	corr
184.8	0.3	Glass_random	0.752	corr
187.0	0.3	Glass_random	0.865	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
246.4	0.3	Verb	1.329	corr
250.8	0.3	Noun	1.455	corr
253.0	0.3	Verb	1.626	corr
257.4	0.3	Verb	1.570	corr
261.8	0.3	Noun	1.676	unknown
264.0	0.3	Verb	0.296	err
268.4	0.3	Noun	1.679	unknown
270.6	0.3	Noun	0.392	corr
275.0	0.3	Noun	0.953	corr
277.2	0.3	Verb	0.935	corr
279.4	0.3	Noun	1.224	corr
283.8	0.3	Verb	1.064	corr
290.4	0.3	Noun	1.685	unknown
294.8	0.3	Verb	1.453	corr
303.6	0.3	Noun	0.906	corr
308.0	0.3	Verb	1.294	corr
310.2	0.3	Noun	0.833	corr
316.8	0.3	Noun	1.450	corr
321.2	0.3	Noun	1.674	unknown
330.0	0.3	Verb	1.217	corr
332.2	0.3	Verb	0.719	corr
338.8	0.3	Verb	1.672	unknown
341.0	0.3	Verb	0.863	corr
343.2	0.3	Noun	0.982	corr
349.8	0.3	Noun	1.685	unknown
358.6	0.3	Verb	1.010	corr
360.8	0.3	Noun	1.379	corr
363.0	0.3	Noun	1.307	corr
371.8	0.3	Verb	1.339	corr
374.0	0.3	Verb	1.686	unknown
376.2	2.2	NV_endcue	n/a	n/a
