onset	duration	trial_type	response_time	correct
11.0	2.2	err	0.898	err
13.2	2.2	err	1.545	err
15.4	2.2	err	n/a	NoResponse
17.6	2.2	err	1.153	err
19.8	2.2	Abstract_corr_1	1.728	corr
26.4	2.2	Concrete_corr_1	0.965	corr
33.0	2.2	Abstract_corr_1	0.928	corr
37.4	2.2	Abstract_corr_1	0.742	corr
39.6	2.2	Concrete_corr_1	0.787	corr
41.8	2.2	Concrete_corr_1	0.667	corr
44.0	2.2	Abstract_corr_1	0.880	corr
46.2	2.2	Abstract_corr_1	0.730	corr
50.6	2.2	Concrete_corr_1	0.700	corr
52.8	2.2	Concrete_corr_1	0.700	corr
57.2	2.2	Concrete_corr_1	0.753	corr
59.4	2.2	Concrete_corr_1	0.696	corr
61.6	2.2	Abstract_corr_1	0.699	corr
66.0	2.2	Abstract_corr_1	0.802	corr
68.2	2.2	Abstract_corr_1	0.719	corr
70.4	2.2	Abstract_corr_1	0.584	corr
72.6	2.2	Concrete_corr_1	0.577	corr
74.8	2.2	Concrete_corr_1	0.554	corr
79.2	2.2	Abstract_corr_1	0.693	corr
83.6	2.2	Concrete_corr_1	0.648	corr
88.0	2.2	Concrete_corr_2	0.713	corr
90.2	2.2	Concrete_corr_2	0.670	corr
92.4	2.2	Abstract_corr_2	0.591	corr
101.2	2.2	Abstract_corr_2	0.680	corr
105.6	2.2	Abstract_corr_2	0.728	corr
107.8	2.2	Concrete_corr_2	0.581	corr
114.4	2.2	Abstract_corr_2	0.688	corr
116.6	2.2	Abstract_corr_2	0.608	corr
118.8	2.2	Concrete_corr_2	0.617	corr
121.0	2.2	Abstract_corr_2	0.577	corr
123.2	2.2	Concrete_corr_2	0.661	corr
125.4	2.2	Concrete_corr_2	0.742	corr
127.6	2.2	Abstract_corr_2	0.623	corr
132.0	2.2	Concrete_corr_2	0.737	corr
134.2	2.2	Concrete_corr_2	0.526	corr
138.6	2.2	Concrete_corr_2	0.717	corr
140.8	2.2	Abstract_corr_2	0.713	corr
143.0	2.2	Concrete_corr_2	0.667	corr
145.2	2.2	Abstract_corr_2	0.688	corr
147.4	2.2	Abstract_corr_2	0.815	corr
156.2	2.2	Concrete_corr_2	0.793	corr
158.4	2.2	Abstract_corr_2	0.590	corr
162.8	2.2	Abstract_corr_2	0.841	corr
165.0	2.2	Concrete_corr_2	0.575	corr
167.2	2.2	Concrete_corr_3	0.692	corr
173.8	2.2	Abstract_corr_3	0.661	corr
176.0	2.2	Abstract_corr_3	0.732	corr
178.2	2.2	Abstract_corr_3	0.661	corr
182.6	2.2	Concrete_corr_3	0.610	corr
184.8	2.2	Abstract_corr_3	0.573	corr
189.2	2.2	Concrete_corr_3	0.706	corr
191.4	2.2	Concrete_corr_3	0.630	corr
193.6	2.2	Abstract_corr_3	0.604	corr
195.8	2.2	Abstract_corr_3	0.728	corr
200.2	2.2	Concrete_corr_3	0.653	corr
204.6	2.2	Concrete_corr_3	0.694	corr
206.8	2.2	Abstract_corr_3	0.521	corr
213.4	2.2	Abstract_corr_3	1.221	corr
215.6	2.2	Concrete_corr_3	0.692	corr
217.8	2.2	Abstract_corr_3	0.669	corr
220.0	2.2	Abstract_corr_3	0.746	corr
224.4	2.2	Concrete_corr_3	0.706	corr
228.8	2.2	Abstract_corr_3	0.689	corr
231.0	2.2	Concrete_corr_3	0.622	corr
235.4	2.2	Abstract_corr_3	0.681	corr
239.8	2.2	Concrete_corr_3	0.907	corr
242.0	2.2	Concrete_corr_3	0.607	corr
244.2	2.2	Concrete_corr_3	0.683	corr
