onset	duration	trial_type	response_time	correct
11.0	2.2	err	1.029	err
13.2	2.2	Abstract_corr_1	0.926	corr
15.4	2.2	Abstract_corr_1	1.031	corr
17.6	2.2	Concrete_corr_1	0.751	corr
19.8	2.2	Concrete_corr_1	0.744	corr
26.4	2.2	Abstract_corr_1	1.373	corr
33.0	2.2	Concrete_corr_1	1.139	corr
37.4	2.2	Abstract_corr_1	1.285	corr
39.6	2.2	Abstract_corr_1	1.141	corr
41.8	2.2	Concrete_corr_1	0.824	corr
44.0	2.2	Abstract_corr_1	0.949	corr
46.2	2.2	Concrete_corr_1	0.826	corr
50.6	2.2	Abstract_corr_1	1.228	corr
52.8	2.2	Abstract_corr_1	0.856	corr
57.2	2.2	Concrete_corr_1	0.909	corr
59.4	2.2	Abstract_corr_1	0.946	corr
61.6	2.2	Concrete_corr_1	0.738	corr
66.0	2.2	Abstract_corr_1	1.092	corr
68.2	2.2	Abstract_corr_1	0.889	corr
70.4	2.2	Concrete_corr_1	0.924	corr
72.6	2.2	Concrete_corr_1	0.698	corr
74.8	2.2	Abstract_corr_1	0.862	corr
79.2	2.2	Concrete_corr_1	0.723	corr
83.6	2.2	Concrete_corr_1	1.140	corr
88.0	2.2	Abstract_corr_2	1.108	corr
90.2	2.2	Abstract_corr_2	0.656	corr
92.4	2.2	Concrete_corr_2	0.734	corr
101.2	2.2	Concrete_corr_2	0.682	corr
105.6	2.2	Abstract_corr_2	0.826	corr
107.8	2.2	Concrete_corr_2	0.714	corr
114.4	2.2	Abstract_corr_2	0.778	corr
116.6	2.2	Abstract_corr_2	0.624	corr
118.8	2.2	Concrete_corr_2	0.695	corr
121.0	2.2	Abstract_corr_2	0.775	corr
123.2	2.2	Abstract_corr_2	0.763	corr
125.4	2.2	Concrete_corr_2	0.690	corr
127.6	2.2	Concrete_corr_2	0.835	corr
132.0	2.2	Abstract_corr_2	0.714	corr
134.2	2.2	Concrete_corr_2	1.207	corr
138.6	2.2	Abstract_corr_2	1.199	corr
140.8	2.2	Abstract_corr_2	0.944	corr
143.0	2.2	Concrete_corr_2	0.581	corr
145.2	2.2	Concrete_corr_2	0.633	corr
147.4	2.2	Abstract_corr_2	0.782	corr
156.2	2.2	Concrete_corr_2	0.904	corr
158.4	2.2	Concrete_corr_2	0.583	corr
162.8	2.2	Concrete_corr_2	0.716	corr
165.0	2.2	Abstract_corr_2	0.978	corr
167.2	2.2	Abstract_corr_3	1.188	corr
173.8	2.2	Concrete_corr_3	0.675	corr
176.0	2.2	Abstract_corr_3	0.763	corr
178.2	2.2	Abstract_corr_3	0.891	corr
182.6	2.2	Concrete_corr_3	0.634	corr
184.8	2.2	Concrete_corr_3	0.732	corr
189.2	2.2	Concrete_corr_3	0.683	corr
191.4	2.2	Abstract_corr_3	0.718	corr
193.6	2.2	Abstract_corr_3	0.775	corr
195.8	2.2	Concrete_corr_3	0.584	corr
200.2	2.2	Concrete_corr_3	0.620	corr
204.6	2.2	Concrete_corr_3	0.647	corr
206.8	2.2	Abstract_corr_3	0.708	corr
213.4	2.2	Abstract_corr_3	0.787	corr
215.6	2.2	Abstract_corr_3	0.784	corr
217.8	2.2	Concrete_corr_3	0.691	corr
220.0	2.2	Abstract_corr_3	0.753	corr
224.4	2.2	Abstract_corr_3	0.896	corr
228.8	2.2	Concrete_corr_3	0.662	corr
231.0	2.2	Concrete_corr_3	0.620	corr
235.4	2.2	Concrete_corr_3	0.643	corr
239.8	2.2	Abstract_corr_3	0.849	corr
242.0	2.2	Concrete_corr_3	0.703	corr
244.2	2.2	Abstract_corr_3	0.884	corr
