onset	duration	trial_type	response_time	correct
8.8	2.2	Concrete_corr_1	1.191	corr
11.0	2.2	Abstract_corr_1	0.810	corr
13.2	2.2	err	0.707	err
15.4	2.2	Concrete_corr_1	0.987	corr
17.6	2.2	Concrete_corr_1	0.695	corr
22.0	2.2	Abstract_corr_1	1.019	corr
26.4	2.2	Abstract_corr_1	1.284	corr
30.8	2.2	Abstract_corr_1	0.792	corr
33.0	2.2	Concrete_corr_1	0.773	corr
37.4	2.2	Abstract_corr_1	0.790	corr
39.6	2.2	Abstract_corr_1	0.940	corr
46.2	2.2	Concrete_corr_1	0.662	corr
52.8	2.2	Concrete_corr_1	0.778	corr
55.0	2.2	Concrete_corr_1	0.731	corr
57.2	2.2	Abstract_corr_1	0.916	corr
59.4	2.2	Abstract_corr_1	1.026	corr
63.8	2.2	Abstract_corr_1	1.315	corr
66.0	2.2	Concrete_corr_1	1.461	corr
70.4	2.2	Abstract_corr_1	1.060	corr
74.8	2.2	Concrete_corr_1	0.793	corr
79.2	2.2	Concrete_corr_1	0.732	corr
81.4	2.2	Concrete_corr_1	0.773	corr
83.6	2.2	Abstract_corr_1	1.315	corr
85.8	2.2	Abstract_corr_1	1.443	corr
90.2	2.2	Abstract_corr_2	1.249	corr
92.4	2.2	Concrete_corr_2	0.816	corr
94.6	2.2	Concrete_corr_2	0.885	corr
96.8	2.2	Abstract_corr_2	1.005	corr
101.2	2.2	Abstract_corr_2	0.957	corr
103.4	2.2	Concrete_corr_2	0.893	corr
110.0	2.2	Abstract_corr_2	1.037	corr
112.2	2.2	Abstract_corr_2	0.932	corr
114.4	2.2	Concrete_corr_2	0.714	corr
118.8	2.2	Concrete_corr_2	0.644	corr
121.0	2.2	Concrete_corr_2	0.632	corr
125.4	2.2	Concrete_corr_2	0.651	corr
132.0	2.2	Concrete_corr_2	0.664	corr
134.2	2.2	Abstract_corr_2	0.930	corr
138.6	2.2	Abstract_corr_2	1.012	corr
140.8	2.2	Abstract_corr_2	0.868	corr
143.0	2.2	Abstract_corr_2	0.647	corr
147.4	2.2	Abstract_corr_2	1.089	corr
151.8	2.2	Abstract_corr_2	0.733	corr
154.0	2.2	Concrete_corr_2	1.301	corr
156.2	2.2	Concrete_corr_2	0.982	corr
158.4	2.2	Concrete_corr_2	0.650	corr
162.8	2.2	Concrete_corr_2	0.692	corr
165.0	2.2	Abstract_corr_2	0.821	corr
167.2	2.2	Abstract_corr_3	0.790	corr
169.4	2.2	Abstract_corr_3	0.845	corr
171.6	2.2	Concrete_corr_3	0.723	corr
180.4	2.2	Concrete_corr_3	0.691	corr
182.6	2.2	Abstract_corr_3	0.759	corr
184.8	2.2	Concrete_corr_3	0.738	corr
187.0	2.2	Abstract_corr_3	0.703	corr
189.2	2.2	Concrete_corr_3	0.595	corr
191.4	2.2	Abstract_corr_3	0.808	corr
193.6	2.2	Concrete_corr_3	0.605	corr
195.8	2.2	Concrete_corr_3	0.670	corr
204.6	2.2	Concrete_corr_3	0.726	corr
206.8	2.2	Abstract_corr_3	0.928	corr
209.0	2.2	Concrete_corr_3	0.696	corr
215.6	2.2	Concrete_corr_3	0.641	corr
217.8	2.2	Concrete_corr_3	0.693	corr
220.0	2.2	Concrete_corr_3	0.677	corr
224.4	2.2	Abstract_corr_3	0.769	corr
228.8	2.2	Abstract_corr_3	0.771	corr
231.0	2.2	Abstract_corr_3	1.195	corr
233.2	2.2	Concrete_corr_3	0.914	corr
237.6	2.2	Abstract_corr_3	0.793	corr
239.8	2.2	Abstract_corr_3	0.731	corr
244.2	2.2	Abstract_corr_3	0.860	corr
