onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
61.6	0.3	Glass_random	0.849	corr
63.8	0.3	Glass_coherent	0.694	corr
66.0	0.3	Glass_random	1.284	corr
72.6	0.3	Glass_random	0.810	corr
74.8	0.3	Glass_coherent	0.660	corr
77.0	0.3	Glass_coherent	0.695	corr
83.6	0.3	Glass_coherent	0.636	corr
85.8	0.3	Glass_random	1.007	err
90.2	0.3	Glass_random	0.841	corr
94.6	0.3	Glass_random	0.693	corr
101.2	0.3	Glass_coherent	0.675	corr
103.4	0.3	Glass_coherent	0.635	corr
105.6	0.3	Glass_random	0.778	corr
110.0	0.3	Glass_coherent	0.646	corr
118.8	0.3	Glass_random	0.692	corr
123.2	0.3	Glass_coherent	0.684	corr
125.4	0.3	Glass_random	0.698	corr
127.6	0.3	Glass_coherent	0.727	corr
132.0	0.3	Glass_random	0.699	corr
134.2	0.3	Glass_random	0.777	corr
138.6	0.3	Glass_coherent	0.923	corr
140.8	0.3	Glass_random	0.648	corr
147.4	0.3	Glass_coherent	0.696	corr
156.2	0.3	Glass_coherent	0.706	corr
160.6	0.3	Glass_coherent	0.647	corr
167.2	0.3	Glass_random	0.777	corr
176.0	0.3	Glass_coherent	0.772	err
180.4	0.3	Glass_random	0.679	corr
182.6	0.3	Glass_coherent	0.837	corr
184.8	0.3	Glass_random	0.707	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
246.4	0.3	Noun	1.771	corr
248.6	0.3	Noun	1.738	corr
250.8	0.3	Verb	0.764	corr
255.2	0.3	Noun	1.351	corr
264.0	0.3	Verb	1.111	corr
266.2	0.3	Verb	0.784	corr
275.0	0.3	Verb	1.270	corr
277.2	0.3	Verb	0.863	corr
286.0	0.3	Verb	1.738	corr
288.2	0.3	Noun	0.846	corr
292.6	0.3	Noun	1.398	corr
294.8	0.3	Noun	0.931	corr
301.4	0.3	Noun	1.766	corr
303.6	0.3	Verb	1.051	corr
305.8	0.3	Noun	1.149	corr
310.2	0.3	Noun	1.269	corr
312.4	0.3	Verb	1.327	corr
314.6	0.3	Verb	1.173	corr
319.0	0.3	Verb	0.797	corr
323.4	0.3	Noun	0.855	corr
330.0	0.3	Verb	1.245	corr
336.6	0.3	Noun	1.301	corr
341.0	0.3	Verb	0.825	corr
343.2	0.3	Noun	0.998	corr
347.6	0.3	Verb	1.124	corr
349.8	0.3	Noun	1.200	corr
352.0	0.3	Noun	1.355	corr
360.8	0.3	Noun	0.804	corr
365.2	0.3	Verb	0.858	corr
367.4	0.3	Verb	1.044	corr
376.2	2.2	NV_endcue	n/a	n/a
