onset	duration	trial_type	response_time	correct
8.8	2.2	indoor_corr_1	1.040	corr
11.0	2.2	outdoor_corr_1	0.690	corr
13.2	2.2	indoor_corr_1	0.748	corr
15.4	2.2	indoor_corr_1	0.799	corr
24.2	2.2	outdoor_corr_1	1.002	corr
26.4	2.2	indoor_corr_1	1.017	corr
30.8	2.2	indoor_corr_1	0.704	corr
33.0	2.2	indoor_corr_1	1.308	corr
37.4	2.2	indoor_corr_1	0.935	corr
41.8	2.2	outdoor_corr_1	0.825	corr
44.0	2.2	outdoor_corr_1	0.908	corr
46.2	2.2	outdoor_corr_1	0.895	corr
48.4	2.2	indoor_corr_1	0.874	corr
55.0	2.2	outdoor_corr_1	0.896	corr
57.2	2.2	outdoor_corr_1	1.338	corr
59.4	2.2	outdoor_corr_1	1.024	corr
61.6	2.2	indoor_corr_1	1.174	corr
68.2	2.2	outdoor_corr_1	0.858	corr
72.6	2.2	outdoor_corr_1	0.710	corr
74.8	2.2	outdoor_corr_1	0.770	corr
77.0	2.2	indoor_corr_1	1.165	corr
81.4	2.2	indoor_corr_1	1.005	corr
83.6	2.2	outdoor_corr_1	0.899	corr
85.8	2.2	indoor_corr_1	0.717	corr
88.0	2.2	outdoor_corr_2	0.753	corr
92.4	2.2	outdoor_corr_2	1.566	corr
94.6	2.2	indoor_corr_2	0.792	corr
96.8	2.2	indoor_corr_2	0.659	corr
101.2	2.2	indoor_corr_2	1.472	corr
103.4	2.2	indoor_corr_2	0.814	corr
110.0	2.2	outdoor_corr_2	1.265	corr
112.2	2.2	indoor_corr_2	0.623	corr
114.4	2.2	indoor_corr_2	0.687	corr
118.8	2.2	indoor_corr_2	1.009	corr
121.0	2.2	outdoor_corr_2	0.907	corr
125.4	2.2	outdoor_corr_2	1.868	corr
127.6	2.2	outdoor_corr_2	0.670	corr
132.0	2.2	indoor_corr_2	0.784	corr
136.4	2.2	indoor_corr_2	0.736	corr
140.8	2.2	indoor_corr_2	1.213	corr
145.2	2.2	outdoor_corr_2	0.823	corr
151.8	2.2	outdoor_corr_2	1.404	corr
154.0	2.2	outdoor_corr_2	1.954	corr
156.2	2.2	outdoor_corr_2	0.655	corr
158.4	2.2	indoor_corr_2	0.777	corr
160.6	2.2	indoor_corr_2	0.668	corr
162.8	2.2	outdoor_corr_2	0.792	corr
165.0	2.2	outdoor_corr_2	0.692	corr
167.2	2.2	outdoor_corr_3	0.652	corr
173.8	2.2	indoor_corr_3	0.728	corr
178.2	2.2	indoor_corr_3	1.240	corr
180.4	2.2	indoor_corr_3	1.054	corr
182.6	2.2	outdoor_corr_3	0.877	corr
184.8	2.2	indoor_corr_3	1.139	corr
187.0	2.2	indoor_corr_3	1.002	corr
191.4	2.2	outdoor_corr_3	1.045	corr
193.6	2.2	indoor_corr_3	1.224	corr
195.8	2.2	indoor_corr_3	0.965	corr
198.0	2.2	indoor_corr_3	0.948	corr
200.2	2.2	outdoor_corr_3	1.007	corr
206.8	2.2	outdoor_corr_3	1.368	corr
209.0	2.2	outdoor_corr_3	0.987	corr
215.6	2.2	outdoor_corr_3	1.052	corr
217.8	2.2	outdoor_corr_3	0.820	corr
222.2	2.2	outdoor_corr_3	0.859	corr
226.6	2.2	outdoor_corr_3	0.707	corr
231.0	2.2	indoor_corr_3	1.540	corr
233.2	2.2	indoor_corr_3	1.196	corr
235.4	2.2	indoor_corr_3	1.061	corr
237.6	2.2	outdoor_corr_3	0.751	corr
242.0	2.2	outdoor_corr_3	0.981	corr
244.2	2.2	indoor_corr_3	1.104	corr
