onset	duration	trial_type	response_time	correct
11.0	2.2	Concrete_corr_1	0.871	corr
13.2	2.2	Concrete_corr_1	0.994	corr
15.4	2.2	Abstract_corr_1	1.119	corr
19.8	2.2	Concrete_corr_1	0.790	corr
22.0	2.2	Abstract_corr_1	0.820	corr
28.6	2.2	Abstract_corr_1	0.959	corr
33.0	2.2	Abstract_corr_1	1.282	corr
35.2	2.2	Concrete_corr_1	1.090	corr
37.4	2.2	Abstract_corr_1	1.065	corr
41.8	2.2	Abstract_corr_1	1.817	corr
44.0	2.2	Concrete_corr_1	0.852	corr
46.2	2.2	Concrete_corr_1	0.635	corr
55.0	2.2	Abstract_corr_1	0.814	corr
57.2	2.2	Concrete_corr_1	0.727	corr
59.4	2.2	Abstract_corr_1	0.860	corr
61.6	2.2	Abstract_corr_1	0.976	corr
63.8	2.2	Abstract_corr_1	0.818	corr
70.4	2.2	Concrete_corr_1	0.681	corr
72.6	2.2	err	1.287	err
74.8	2.2	Concrete_corr_1	1.297	corr
77.0	2.2	Concrete_corr_1	0.793	corr
79.2	2.2	Abstract_corr_1	0.867	corr
81.4	2.2	Concrete_corr_1	0.848	corr
85.8	2.2	Concrete_corr_1	0.889	corr
90.2	2.2	Concrete_corr_2	0.759	corr
92.4	2.2	Concrete_corr_2	0.808	corr
99.0	2.2	Abstract_corr_2	0.924	corr
101.2	2.2	Abstract_corr_2	0.714	corr
105.6	2.2	Concrete_corr_2	0.751	corr
112.2	2.2	Concrete_corr_2	0.974	corr
114.4	2.2	Abstract_corr_2	0.694	corr
116.6	2.2	Abstract_corr_2	0.792	corr
118.8	2.2	Abstract_corr_2	0.958	corr
121.0	2.2	Concrete_corr_2	0.756	corr
123.2	2.2	Concrete_corr_2	0.843	corr
125.4	2.2	Abstract_corr_2	0.893	corr
129.8	2.2	Abstract_corr_2	0.957	corr
134.2	2.2	Abstract_corr_2	1.004	corr
138.6	2.2	Abstract_corr_2	1.418	corr
140.8	2.2	Concrete_corr_2	0.729	corr
143.0	2.2	Abstract_corr_2	0.899	corr
145.2	2.2	Concrete_corr_2	0.658	corr
147.4	2.2	err	1.061	err
154.0	2.2	Concrete_corr_2	0.771	corr
156.2	2.2	Concrete_corr_2	0.907	corr
158.4	2.2	Abstract_corr_2	0.983	corr
162.8	2.2	Abstract_corr_2	1.348	corr
165.0	2.2	Concrete_corr_2	0.783	corr
169.4	2.2	Abstract_corr_3	0.744	corr
176.0	2.2	Abstract_corr_3	0.797	corr
180.4	2.2	Abstract_corr_3	1.181	corr
182.6	2.2	Concrete_corr_3	0.625	corr
184.8	2.2	Abstract_corr_3	0.681	corr
187.0	2.2	Abstract_corr_3	0.757	corr
189.2	2.2	Concrete_corr_3	0.702	corr
193.6	2.2	Abstract_corr_3	1.064	corr
195.8	2.2	Abstract_corr_3	0.727	corr
200.2	2.2	Abstract_corr_3	1.574	corr
202.4	2.2	Abstract_corr_3	0.775	corr
204.6	2.2	Abstract_corr_3	0.953	corr
211.2	2.2	Abstract_corr_3	1.131	corr
213.4	2.2	Concrete_corr_3	0.586	corr
217.8	2.2	Concrete_corr_3	0.708	corr
222.2	2.2	Abstract_corr_3	0.673	corr
226.6	2.2	Concrete_corr_3	0.716	corr
228.8	2.2	Concrete_corr_3	0.583	corr
231.0	2.2	Concrete_corr_3	0.763	corr
233.2	2.2	Concrete_corr_3	0.627	corr
237.6	2.2	Concrete_corr_3	0.973	corr
239.8	2.2	Concrete_corr_3	0.814	corr
242.0	2.2	Concrete_corr_3	0.658	corr
244.2	2.2	Concrete_corr_3	0.779	corr
