onset	duration	trial_type	response_time	correct
11.0	2.2	indoor_corr_1	1.233	corr
13.2	2.2	indoor_corr_1	1.234	corr
15.4	2.2	indoor_corr_1	0.763	corr
17.6	2.2	outdoor_corr_1	0.574	corr
19.8	2.2	outdoor_corr_1	0.932	corr
26.4	2.2	indoor_corr_1	0.988	corr
33.0	2.2	outdoor_corr_1	0.566	corr
37.4	2.2	err	0.733	err
39.6	2.2	outdoor_corr_1	1.051	corr
41.8	2.2	outdoor_corr_1	0.890	corr
44.0	2.2	indoor_corr_1	0.954	corr
46.2	2.2	outdoor_corr_1	0.951	corr
50.6	2.2	indoor_corr_1	1.306	corr
52.8	2.2	outdoor_corr_1	0.712	corr
57.2	2.2	indoor_corr_1	1.008	corr
59.4	2.2	outdoor_corr_1	0.763	corr
61.6	2.2	outdoor_corr_1	0.662	corr
66.0	2.2	indoor_corr_1	0.773	corr
68.2	2.2	indoor_corr_1	0.884	corr
70.4	2.2	outdoor_corr_1	0.717	corr
72.6	2.2	indoor_corr_1	0.942	corr
74.8	2.2	indoor_corr_1	0.843	corr
79.2	2.2	outdoor_corr_1	0.763	corr
83.6	2.2	indoor_corr_1	0.875	corr
88.0	2.2	indoor_corr_2	0.890	corr
90.2	2.2	outdoor_corr_2	0.670	corr
92.4	2.2	outdoor_corr_2	0.579	corr
101.2	2.2	outdoor_corr_2	0.646	corr
105.6	2.2	indoor_corr_2	0.757	corr
107.8	2.2	outdoor_corr_2	0.669	corr
114.4	2.2	indoor_corr_2	0.677	corr
116.6	2.2	indoor_corr_2	0.575	corr
118.8	2.2	indoor_corr_2	0.829	corr
121.0	2.2	indoor_corr_2	0.697	corr
123.2	2.2	indoor_corr_2	0.569	corr
125.4	2.2	indoor_corr_2	0.707	corr
127.6	2.2	outdoor_corr_2	0.798	corr
132.0	2.2	outdoor_corr_2	0.794	corr
134.2	2.2	err	0.792	err
138.6	2.2	indoor_corr_2	0.895	corr
140.8	2.2	outdoor_corr_2	0.773	corr
143.0	2.2	indoor_corr_2	0.678	corr
145.2	2.2	outdoor_corr_2	0.577	corr
147.4	2.2	indoor_corr_2	0.917	corr
156.2	2.2	indoor_corr_2	0.751	corr
158.4	2.2	outdoor_corr_2	0.831	corr
162.8	2.2	outdoor_corr_2	0.679	corr
165.0	2.2	outdoor_corr_2	0.760	corr
167.2	2.2	outdoor_corr_3	0.674	corr
173.8	2.2	outdoor_corr_3	0.678	corr
176.0	2.2	indoor_corr_3	0.807	corr
178.2	2.2	indoor_corr_3	0.790	corr
182.6	2.2	indoor_corr_3	0.759	corr
184.8	2.2	outdoor_corr_3	0.649	corr
189.2	2.2	indoor_corr_3	1.155	corr
191.4	2.2	indoor_corr_3	0.597	corr
193.6	2.2	indoor_corr_3	0.610	corr
195.8	2.2	outdoor_corr_3	0.591	corr
200.2	2.2	indoor_corr_3	1.074	corr
204.6	2.2	indoor_corr_3	0.803	corr
206.8	2.2	indoor_corr_3	0.712	corr
213.4	2.2	outdoor_corr_3	1.163	corr
215.6	2.2	indoor_corr_3	0.826	corr
217.8	2.2	outdoor_corr_3	0.714	corr
220.0	2.2	indoor_corr_3	1.141	corr
224.4	2.2	indoor_corr_3	0.691	corr
228.8	2.2	outdoor_corr_3	0.774	corr
231.0	2.2	outdoor_corr_3	0.589	corr
235.4	2.2	outdoor_corr_3	0.730	corr
239.8	2.2	outdoor_corr_3	0.881	corr
242.0	2.2	outdoor_corr_3	1.020	corr
244.2	2.2	outdoor_corr_3	1.419	corr
