onset	duration	trial_type	response_time	correct
52.8	2.2	NV_startcue	n/a	n/a
70.4	121.0	NV_sustained	n/a	n/a
61.6	0.3	Verb	1.171	corr
63.8	0.3	Verb	0.981	corr
68.2	0.3	Noun	1.564	corr
72.6	0.3	Noun	1.244	corr
74.8	0.3	Noun	1.597	corr
79.2	0.3	Verb	1.367	corr
81.4	0.3	Noun	1.165	corr
85.8	0.3	Verb	0.803	corr
92.4	0.3	Noun	0.881	corr
94.6	0.3	Verb	0.973	corr
99.0	0.3	Verb	1.283	corr
107.8	0.3	Verb	1.066	corr
112.2	0.3	Noun	0.997	corr
114.4	0.3	Noun	0.820	corr
123.2	0.3	Noun	1.708	corr
127.6	0.3	Noun	1.810	corr
132.0	0.3	Verb	0.920	corr
134.2	0.3	Noun	0.911	corr
143.0	0.3	Verb	1.401	err
147.4	0.3	Verb	1.572	corr
151.8	0.3	Noun	1.022	corr
154.0	0.3	Verb	1.292	corr
158.4	0.3	Noun	0.978	corr
160.6	0.3	Noun	1.227	corr
165.0	0.3	Noun	1.290	corr
167.2	0.3	Verb	1.055	corr
176.0	0.3	Verb	1.445	corr
178.2	0.3	Noun	0.743	corr
180.4	0.3	Verb	0.873	corr
189.2	0.3	Verb	0.975	corr
191.4	2.2	NV_endcue	n/a	n/a
237.6	2.2	Glass_startcue	n/a	n/a
255.2	121.0	Glass_sustained	n/a	n/a
242.0	0.3	Glass_coherent	0.854	corr
246.4	0.3	Glass_random	0.858	corr
248.6	0.3	Glass_coherent	0.783	corr
250.8	0.3	Glass_random	0.781	corr
255.2	0.3	Glass_coherent	0.723	corr
259.6	0.3	Glass_random	0.805	corr
266.2	0.3	Glass_coherent	0.733	corr
268.4	0.3	Glass_random	0.892	corr
277.2	0.3	Glass_coherent	0.715	corr
279.4	0.3	Glass_coherent	0.726	corr
283.8	0.3	Glass_random	0.761	corr
288.2	0.3	Glass_coherent	0.753	corr
290.4	0.3	Glass_random	0.829	corr
292.6	0.3	Glass_coherent	0.835	corr
301.4	0.3	Glass_random	0.879	corr
308.0	0.3	Glass_random	1.100	corr
314.6	0.3	Glass_random	1.149	corr
323.4	0.3	Glass_coherent	0.901	corr
325.6	0.3	Glass_coherent	0.744	corr
327.8	0.3	Glass_coherent	0.942	corr
332.2	0.3	Glass_random	0.858	corr
336.6	0.3	Glass_random	0.840	corr
341.0	0.3	Glass_random	1.065	corr
343.2	0.3	Glass_random	0.921	corr
345.4	0.3	Glass_coherent	0.752	corr
354.2	0.3	Glass_coherent	1.309	corr
356.4	0.3	Glass_random	0.848	corr
360.8	0.3	Glass_coherent	0.921	corr
363.0	0.3	Glass_coherent	1.064	corr
371.8	0.3	Glass_random	0.870	corr
376.2	2.2	Glass_endcue	n/a	n/a
