onset	duration	trial_type	response_time	correct
8.8	2.2	unknown	1.612	unknown
11.0	2.2	indoor_corr_1	1.051	corr
13.2	2.2	outdoor_corr_1	0.652	corr
15.4	2.2	indoor_corr_1	0.828	corr
17.6	2.2	outdoor_corr_1	0.624	corr
22.0	2.2	indoor_corr_1	0.770	corr
26.4	2.2	indoor_corr_1	0.909	corr
30.8	2.2	outdoor_corr_1	0.899	corr
33.0	2.2	outdoor_corr_1	0.780	corr
37.4	2.2	outdoor_corr_1	0.647	corr
39.6	2.2	outdoor_corr_1	0.722	corr
46.2	2.2	indoor_corr_1	0.783	corr
52.8	2.2	indoor_corr_1	0.985	corr
55.0	2.2	indoor_corr_1	0.719	corr
57.2	2.2	outdoor_corr_1	0.640	corr
59.4	2.2	indoor_corr_1	0.981	corr
63.8	2.2	indoor_corr_1	0.905	corr
66.0	2.2	outdoor_corr_1	0.826	corr
70.4	2.2	indoor_corr_1	1.055	corr
74.8	2.2	outdoor_corr_1	0.735	corr
79.2	2.2	indoor_corr_1	0.950	corr
81.4	2.2	outdoor_corr_1	0.796	corr
83.6	2.2	outdoor_corr_1	0.960	corr
85.8	2.2	outdoor_corr_1	0.796	corr
90.2	2.2	indoor_corr_2	0.970	corr
92.4	2.2	outdoor_corr_2	0.617	corr
94.6	2.2	outdoor_corr_2	0.752	corr
96.8	2.2	outdoor_corr_2	0.722	corr
101.2	2.2	indoor_corr_2	0.715	corr
103.4	2.2	indoor_corr_2	0.692	corr
110.0	2.2	outdoor_corr_2	0.630	corr
112.2	2.2	outdoor_corr_2	0.631	corr
114.4	2.2	indoor_corr_2	0.845	corr
118.8	2.2	indoor_corr_2	0.730	corr
121.0	2.2	indoor_corr_2	0.871	corr
125.4	2.2	indoor_corr_2	1.111	corr
132.0	2.2	outdoor_corr_2	0.635	corr
134.2	2.2	indoor_corr_2	0.881	corr
138.6	2.2	outdoor_corr_2	0.559	corr
140.8	2.2	outdoor_corr_2	0.601	corr
143.0	2.2	outdoor_corr_2	0.815	corr
147.4	2.2	indoor_corr_2	0.733	corr
151.8	2.2	indoor_corr_2	0.979	corr
154.0	2.2	outdoor_corr_2	0.784	corr
156.2	2.2	outdoor_corr_2	0.573	corr
158.4	2.2	indoor_corr_2	0.731	corr
162.8	2.2	outdoor_corr_2	0.636	corr
165.0	2.2	indoor_corr_2	0.813	corr
167.2	2.2	indoor_corr_3	0.817	corr
169.4	2.2	indoor_corr_3	0.704	corr
171.6	2.2	indoor_corr_3	0.874	corr
180.4	2.2	indoor_corr_3	0.779	corr
182.6	2.2	outdoor_corr_3	0.540	corr
184.8	2.2	outdoor_corr_3	0.522	corr
187.0	2.2	indoor_corr_3	0.659	corr
189.2	2.2	indoor_corr_3	0.641	corr
191.4	2.2	outdoor_corr_3	0.762	corr
193.6	2.2	outdoor_corr_3	0.497	corr
195.8	2.2	outdoor_corr_3	0.745	corr
204.6	2.2	indoor_corr_3	0.662	corr
206.8	2.2	outdoor_corr_3	0.582	corr
209.0	2.2	outdoor_corr_3	0.560	corr
215.6	2.2	outdoor_corr_3	0.705	corr
217.8	2.2	indoor_corr_3	0.556	corr
220.0	2.2	outdoor_corr_3	0.608	corr
224.4	2.2	outdoor_corr_3	0.683	corr
228.8	2.2	indoor_corr_3	0.748	corr
231.0	2.2	indoor_corr_3	0.716	corr
233.2	2.2	indoor_corr_3	0.899	corr
237.6	2.2	outdoor_corr_3	0.604	corr
239.8	2.2	outdoor_corr_3	1.099	corr
244.2	2.2	indoor_corr_3	0.698	corr
