onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
59.4	0.3	Glass_coherent	0.780	corr
61.6	0.3	Glass_random	0.758	corr
66.0	0.3	Glass_random	0.825	corr
68.2	0.3	Glass_coherent	0.786	corr
74.8	0.3	Glass_random	0.749	corr
77.0	0.3	Glass_coherent	0.695	corr
81.4	0.3	Glass_coherent	0.691	corr
88.0	0.3	Glass_random	0.681	corr
92.4	0.3	Glass_coherent	0.685	corr
96.8	0.3	Glass_random	0.807	corr
99.0	0.3	Glass_random	0.747	corr
101.2	0.3	Glass_random	0.700	corr
107.8	0.3	Glass_coherent	0.848	corr
112.2	0.3	Glass_coherent	0.827	corr
121.0	0.3	Glass_coherent	1.029	corr
123.2	0.3	Glass_random	1.109	corr
125.4	0.3	Glass_random	0.879	corr
129.8	0.3	Glass_random	0.857	corr
138.6	0.3	Glass_random	1.018	corr
143.0	0.3	Glass_coherent	0.824	corr
145.2	0.3	Glass_coherent	0.760	corr
149.6	0.3	Glass_coherent	0.980	corr
156.2	0.3	Glass_random	0.817	corr
160.6	0.3	Glass_random	0.972	corr
167.2	0.3	Glass_coherent	0.920	corr
169.4	0.3	Glass_random	0.803	corr
176.0	0.3	Glass_random	1.093	corr
178.2	0.3	Glass_coherent	0.750	corr
180.4	0.3	Glass_coherent	0.738	corr
184.8	0.3	Glass_coherent	0.707	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
244.2	0.3	Noun	0.896	corr
248.6	0.3	Verb	0.773	corr
250.8	0.3	Noun	1.155	corr
253.0	0.3	Noun	1.068	corr
261.8	0.3	Noun	1.175	corr
266.2	0.3	Verb	1.874	corr
268.4	0.3	Verb	1.453	corr
270.6	0.3	Verb	0.957	corr
279.4	0.3	Verb	1.170	corr
283.8	0.3	Noun	0.888	corr
288.2	0.3	Noun	1.665	corr
290.4	0.3	Verb	1.307	corr
294.8	0.3	Verb	0.812	corr
297.0	0.3	Verb	1.009	corr
299.2	0.3	Noun	1.297	corr
305.8	0.3	Noun	1.318	corr
314.6	0.3	Verb	0.836	corr
316.8	0.3	Verb	1.203	corr
319.0	0.3	Verb	0.889	corr
323.4	0.3	Noun	0.906	corr
325.6	0.3	Noun	1.934	corr
334.4	0.3	Noun	1.434	corr
341.0	0.3	Verb	1.134	corr
349.8	0.3	Verb	1.184	corr
356.4	0.3	Verb	1.699	corr
360.8	0.3	Verb	0.779	corr
363.0	0.3	Noun	1.025	corr
367.4	0.3	Noun	0.943	corr
369.6	0.3	Noun	0.920	corr
371.8	0.3	Noun	0.957	corr
376.2	2.2	NV_endcue	n/a	n/a
