onset	duration	trial_type	response_time	correct
8.8	2.2	Concrete_corr_1	0.936	corr
11.0	2.2	Concrete_corr_1	0.655	corr
13.2	2.2	err	1.119	err
17.6	2.2	Concrete_corr_1	0.753	corr
22.0	2.2	Concrete_corr_1	0.664	corr
26.4	2.2	Abstract_corr_1	0.850	corr
28.6	2.2	Concrete_corr_1	0.803	corr
37.4	2.2	Abstract_corr_1	1.098	corr
39.6	2.2	Abstract_corr_1	0.789	corr
41.8	2.2	Concrete_corr_1	0.626	corr
44.0	2.2	Concrete_corr_1	0.865	corr
46.2	2.2	Abstract_corr_1	1.039	corr
50.6	2.2	Concrete_corr_1	0.596	corr
52.8	2.2	Abstract_corr_1	0.842	corr
55.0	2.2	Abstract_corr_1	0.777	corr
57.2	2.2	Concrete_corr_1	1.010	corr
59.4	2.2	Abstract_corr_1	0.804	corr
63.8	2.2	Concrete_corr_1	0.666	corr
66.0	2.2	Abstract_corr_1	0.689	corr
68.2	2.2	Concrete_corr_1	0.696	corr
74.8	2.2	Concrete_corr_1	0.693	corr
77.0	2.2	Abstract_corr_1	0.668	corr
81.4	2.2	Abstract_corr_1	0.940	corr
85.8	2.2	err	1.268	err
88.0	2.2	Abstract_corr_2	0.695	corr
90.2	2.2	Abstract_corr_2	0.790	corr
96.8	2.2	Concrete_corr_2	0.598	corr
103.4	2.2	Concrete_corr_2	0.607	corr
105.6	2.2	Abstract_corr_2	0.686	corr
107.8	2.2	Abstract_corr_2	0.690	corr
110.0	2.2	Concrete_corr_2	0.692	corr
112.2	2.2	Concrete_corr_2	0.921	corr
116.6	2.2	Abstract_corr_2	0.941	corr
121.0	2.2	Concrete_corr_2	0.669	corr
123.2	2.2	Concrete_corr_2	0.860	corr
125.4	2.2	Abstract_corr_2	0.643	corr
127.6	2.2	Concrete_corr_2	0.694	corr
134.2	2.2	Concrete_corr_2	0.710	corr
138.6	2.2	Concrete_corr_2	0.688	corr
140.8	2.2	Abstract_corr_2	0.703	corr
143.0	2.2	Concrete_corr_2	0.584	corr
145.2	2.2	Abstract_corr_2	0.858	corr
147.4	2.2	Abstract_corr_2	0.688	corr
149.6	2.2	Abstract_corr_2	0.669	corr
154.0	2.2	Concrete_corr_2	0.717	corr
158.4	2.2	Concrete_corr_2	0.686	corr
160.6	2.2	Abstract_corr_2	0.731	corr
165.0	2.2	Abstract_corr_2	0.680	corr
169.4	2.2	Concrete_corr_3	0.772	corr
171.6	2.2	Concrete_corr_3	0.779	corr
176.0	2.2	Abstract_corr_3	0.737	corr
178.2	2.2	Concrete_corr_3	0.671	corr
184.8	2.2	Concrete_corr_3	0.525	corr
189.2	2.2	Abstract_corr_3	0.714	corr
193.6	2.2	Concrete_corr_3	0.582	corr
195.8	2.2	Abstract_corr_3	1.008	corr
198.0	2.2	err	0.942	err
200.2	2.2	Abstract_corr_3	0.610	corr
202.4	2.2	Abstract_corr_3	1.025	corr
204.6	2.2	Abstract_corr_3	0.593	corr
209.0	2.2	Concrete_corr_3	0.595	corr
211.2	2.2	Abstract_corr_3	1.052	corr
213.4	2.2	Concrete_corr_3	0.654	corr
215.6	2.2	Abstract_corr_3	0.690	corr
222.2	2.2	Abstract_corr_3	0.643	corr
224.4	2.2	Abstract_corr_3	0.678	corr
231.0	2.2	Concrete_corr_3	0.709	corr
233.2	2.2	Concrete_corr_3	0.651	corr
237.6	2.2	Concrete_corr_3	0.553	corr
239.8	2.2	Abstract_corr_3	0.599	corr
242.0	2.2	Concrete_corr_3	0.622	corr
244.2	2.2	Concrete_corr_3	0.660	corr
