onset	duration	trial_type	response_time	correct
8.8	2.2	indoor_corr_1	0.887	corr
11.0	2.2	indoor_corr_1	0.901	corr
13.2	2.2	outdoor_corr_1	0.750	corr
17.6	2.2	outdoor_corr_1	0.816	corr
22.0	2.2	outdoor_corr_1	0.788	corr
26.4	2.2	outdoor_corr_1	0.837	corr
28.6	2.2	outdoor_corr_1	0.702	corr
37.4	2.2	outdoor_corr_1	0.793	corr
39.6	2.2	indoor_corr_1	0.789	corr
41.8	2.2	indoor_corr_1	0.752	corr
44.0	2.2	outdoor_corr_1	0.919	corr
46.2	2.2	indoor_corr_1	0.799	corr
50.6	2.2	indoor_corr_1	0.934	corr
52.8	2.2	outdoor_corr_1	0.846	corr
55.0	2.2	outdoor_corr_1	0.923	corr
57.2	2.2	outdoor_corr_1	0.826	corr
59.4	2.2	outdoor_corr_1	0.956	corr
63.8	2.2	indoor_corr_1	0.885	corr
66.0	2.2	outdoor_corr_1	0.806	corr
68.2	2.2	indoor_corr_1	0.778	corr
74.8	2.2	indoor_corr_1	0.710	corr
77.0	2.2	indoor_corr_1	0.768	corr
81.4	2.2	indoor_corr_1	0.783	corr
85.8	2.2	indoor_corr_1	0.732	corr
88.0	2.2	outdoor_corr_2	0.878	corr
90.2	2.2	outdoor_corr_2	0.742	corr
96.8	2.2	indoor_corr_2	0.623	corr
103.4	2.2	outdoor_corr_2	0.653	corr
105.6	2.2	indoor_corr_2	0.627	corr
107.8	2.2	indoor_corr_2	0.636	corr
110.0	2.2	outdoor_corr_2	0.773	corr
112.2	2.2	outdoor_corr_2	0.683	corr
116.6	2.2	outdoor_corr_2	0.668	corr
121.0	2.2	indoor_corr_2	0.606	corr
123.2	2.2	indoor_corr_2	0.640	corr
125.4	2.2	outdoor_corr_2	0.823	corr
127.6	2.2	outdoor_corr_2	0.945	corr
134.2	2.2	indoor_corr_2	0.671	corr
138.6	2.2	indoor_corr_2	0.633	corr
140.8	2.2	outdoor_corr_2	0.811	corr
143.0	2.2	indoor_corr_2	0.600	corr
145.2	2.2	indoor_corr_2	0.624	corr
147.4	2.2	indoor_corr_2	0.875	corr
149.6	2.2	indoor_corr_2	0.733	corr
154.0	2.2	indoor_corr_2	0.697	corr
158.4	2.2	outdoor_corr_2	0.794	corr
160.6	2.2	outdoor_corr_2	0.738	corr
165.0	2.2	outdoor_corr_2	0.860	corr
169.4	2.2	indoor_corr_3	0.713	corr
171.6	2.2	indoor_corr_3	0.906	corr
176.0	2.2	outdoor_corr_3	1.087	corr
178.2	2.2	indoor_corr_3	0.767	corr
184.8	2.2	outdoor_corr_3	0.910	corr
189.2	2.2	outdoor_corr_3	1.190	corr
193.6	2.2	indoor_corr_3	0.705	corr
195.8	2.2	outdoor_corr_3	0.767	corr
198.0	2.2	indoor_corr_3	0.570	corr
200.2	2.2	indoor_corr_3	1.119	corr
202.4	2.2	outdoor_corr_3	0.663	corr
204.6	2.2	indoor_corr_3	0.726	corr
209.0	2.2	indoor_corr_3	0.644	corr
211.2	2.2	indoor_corr_3	0.726	corr
213.4	2.2	outdoor_corr_3	0.624	corr
215.6	2.2	outdoor_corr_3	0.887	corr
222.2	2.2	outdoor_corr_3	0.695	corr
224.4	2.2	outdoor_corr_3	0.826	corr
231.0	2.2	indoor_corr_3	0.681	corr
233.2	2.2	outdoor_corr_3	0.840	corr
237.6	2.2	indoor_corr_3	0.705	corr
239.8	2.2	indoor_corr_3	0.721	corr
242.0	2.2	outdoor_corr_3	0.837	corr
244.2	2.2	outdoor_corr_3	1.196	corr
