onset	duration	trial_type	response_time	correct
52.8	2.2	NV_startcue	n/a	n/a
70.4	121.0	NV_sustained	n/a	n/a
59.4	0.3	Noun	0.769	corr
63.8	0.3	Noun	1.046	corr
66.0	0.3	Verb	1.199	corr
68.2	0.3	Noun	1.111	corr
74.8	0.3	Noun	1.015	corr
79.2	0.3	Verb	1.232	corr
81.4	0.3	Verb	0.963	corr
88.0	0.3	Verb	1.389	corr
90.2	0.3	Noun	0.919	corr
99.0	0.3	Verb	1.809	err
101.2	0.3	Verb	1.498	corr
105.6	0.3	Noun	1.421	corr
107.8	0.3	Verb	1.191	corr
112.2	0.3	Verb	1.766	corr
118.8	0.3	Noun	0.848	corr
121.0	0.3	Noun	0.925	corr
127.6	0.3	Noun	1.042	corr
132.0	0.3	Verb	0.974	corr
138.6	0.3	Verb	1.105	corr
140.8	0.3	Noun	1.332	corr
143.0	0.3	Noun	1.407	corr
151.8	0.3	Verb	0.893	corr
154.0	0.3	Noun	1.063	err
156.2	0.3	Verb	1.051	corr
160.6	0.3	Verb	1.152	corr
162.8	0.3	Noun	1.134	corr
167.2	0.3	Noun	1.262	err
176.0	0.3	Noun	1.949	corr
184.8	0.3	Verb	1.051	corr
187.0	0.3	Verb	1.414	corr
191.4	2.2	NV_endcue	n/a	n/a
237.6	2.2	Glass_startcue	n/a	n/a
255.2	121.0	Glass_sustained	n/a	n/a
244.2	0.3	Glass_random	0.988	corr
248.6	0.3	Glass_coherent	1.023	err
250.8	0.3	Glass_coherent	0.751	corr
255.2	0.3	Glass_random	0.809	corr
264.0	0.3	Glass_coherent	0.951	err
266.2	0.3	Glass_random	0.648	corr
270.6	0.3	Glass_random	0.897	corr
272.8	0.3	Glass_coherent	0.757	corr
275.0	0.3	Glass_coherent	0.535	corr
279.4	0.3	Glass_coherent	0.616	corr
286.0	0.3	Glass_coherent	1.214	corr
288.2	0.3	Glass_coherent	0.615	corr
294.8	0.3	Glass_random	1.023	err
297.0	0.3	Glass_random	1.009	err
299.2	0.3	Glass_random	1.156	corr
308.0	0.3	Glass_random	1.014	corr
312.4	0.3	Glass_coherent	0.661	corr
314.6	0.3	Glass_random	0.826	err
319.0	0.3	Glass_coherent	0.661	corr
327.8	0.3	Glass_random	0.792	err
332.2	0.3	Glass_coherent	0.638	corr
334.4	0.3	Glass_random	0.745	err
336.6	0.3	Glass_random	0.826	corr
343.2	0.3	Glass_coherent	0.627	corr
345.4	0.3	Glass_random	1.117	err
349.8	0.3	Glass_random	0.718	err
352.0	0.3	Glass_coherent	0.639	corr
356.4	0.3	Glass_coherent	0.605	corr
363.0	0.3	Glass_coherent	0.648	corr
369.6	0.3	Glass_random	0.817	err
376.2	2.2	Glass_endcue	n/a	n/a
