onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
61.6	0.3	Glass_coherent	0.758	corr
66.0	0.3	Glass_random	1.077	corr
70.4	0.3	Glass_random	0.835	corr
72.6	0.3	Glass_coherent	0.746	corr
74.8	0.3	Glass_coherent	0.782	corr
79.2	0.3	Glass_random	0.768	corr
85.8	0.3	Glass_coherent	0.776	corr
88.0	0.3	Glass_random	0.692	corr
92.4	0.3	Glass_coherent	0.790	corr
94.6	0.3	Glass_coherent	1.447	corr
99.0	0.3	Glass_coherent	0.905	corr
101.2	0.3	Glass_random	0.677	corr
103.4	0.3	Glass_coherent	0.791	corr
112.2	0.3	Glass_random	0.858	corr
114.4	0.3	Glass_random	2.036	corr
118.8	0.3	Glass_random	0.730	corr
127.6	0.3	Glass_coherent	1.256	corr
132.0	0.3	Glass_coherent	1.774	err
136.4	0.3	Glass_random	0.917	corr
138.6	0.3	Glass_random	0.838	corr
145.2	0.3	Glass_coherent	0.806	corr
147.4	0.3	Glass_random	0.710	corr
156.2	0.3	Glass_random	2.081	corr
162.8	0.3	Glass_random	0.867	corr
167.2	0.3	Glass_coherent	1.016	corr
169.4	0.3	Glass_coherent	0.766	corr
171.6	0.3	Glass_coherent	0.716	corr
176.0	0.3	Glass_random	0.668	corr
180.4	0.3	Glass_coherent	0.711	corr
187.0	0.3	Glass_random	0.771	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
246.4	0.3	Verb	2.086	corr
250.8	0.3	Noun	n/a	NoResponse
253.0	0.3	Noun	0.285	corr
257.4	0.3	Noun	1.657	corr
264.0	0.3	Verb	1.724	corr
266.2	0.3	Verb	1.140	corr
270.6	0.3	Verb	1.177	corr
275.0	0.3	Noun	1.326	corr
277.2	0.3	Verb	1.337	corr
279.4	0.3	Noun	1.350	corr
283.8	0.3	Noun	1.460	corr
290.4	0.3	Noun	1.623	corr
292.6	0.3	Verb	1.412	corr
301.4	0.3	Verb	1.186	corr
310.2	0.3	Noun	1.408	corr
314.6	0.3	Noun	1.577	corr
316.8	0.3	Noun	2.043	corr
323.4	0.3	Verb	n/a	NoResponse
325.6	0.3	Verb	0.001	corr
332.2	0.3	Noun	1.271	corr
336.6	0.3	Verb	1.098	corr
338.8	0.3	Verb	0.874	corr
341.0	0.3	Verb	1.074	corr
349.8	0.3	Verb	1.356	corr
352.0	0.3	Noun	1.959	corr
354.2	0.3	Noun	1.742	corr
358.6	0.3	Verb	1.889	corr
363.0	0.3	Verb	0.744	corr
365.2	0.3	Noun	1.420	corr
374.0	0.3	Noun	1.893	corr
376.2	2.2	NV_endcue	n/a	n/a
