onset	duration	trial_type	response_time	correct
8.8	2.2	err	1.248	err
11.0	2.2	indoor_corr_1	1.011	corr
13.2	2.2	outdoor_corr_1	1.167	corr
15.4	2.2	indoor_corr_1	0.738	corr
17.6	2.2	outdoor_corr_1	0.900	corr
22.0	2.2	indoor_corr_1	1.317	corr
26.4	2.2	indoor_corr_1	0.877	corr
30.8	2.2	outdoor_corr_1	0.992	corr
33.0	2.2	outdoor_corr_1	0.929	corr
37.4	2.2	outdoor_corr_1	0.835	corr
39.6	2.2	outdoor_corr_1	0.714	corr
46.2	2.2	indoor_corr_1	1.130	corr
52.8	2.2	indoor_corr_1	1.330	corr
55.0	2.2	indoor_corr_1	1.159	corr
57.2	2.2	outdoor_corr_1	1.012	corr
59.4	2.2	indoor_corr_1	1.662	corr
63.8	2.2	err	1.577	err
66.0	2.2	outdoor_corr_1	0.740	corr
70.4	2.2	indoor_corr_1	1.486	corr
74.8	2.2	outdoor_corr_1	1.048	corr
79.2	2.2	indoor_corr_1	1.026	corr
81.4	2.2	outdoor_corr_1	0.838	corr
83.6	2.2	outdoor_corr_1	0.968	corr
85.8	2.2	outdoor_corr_1	0.711	corr
90.2	2.2	indoor_corr_2	1.262	corr
92.4	2.2	outdoor_corr_2	0.750	corr
94.6	2.2	outdoor_corr_2	0.802	corr
96.8	2.2	outdoor_corr_2	0.658	corr
101.2	2.2	indoor_corr_2	1.042	corr
103.4	2.2	indoor_corr_2	0.965	corr
110.0	2.2	outdoor_corr_2	0.804	corr
112.2	2.2	outdoor_corr_2	0.730	corr
114.4	2.2	indoor_corr_2	0.704	corr
118.8	2.2	indoor_corr_2	1.220	corr
121.0	2.2	err	1.282	err
125.4	2.2	indoor_corr_2	0.871	corr
132.0	2.2	outdoor_corr_2	0.900	corr
134.2	2.2	indoor_corr_2	0.757	corr
138.6	2.2	outdoor_corr_2	0.757	corr
140.8	2.2	outdoor_corr_2	1.051	corr
143.0	2.2	outdoor_corr_2	1.171	corr
147.4	2.2	indoor_corr_2	0.904	corr
151.8	2.2	indoor_corr_2	1.478	corr
154.0	2.2	outdoor_corr_2	0.660	corr
156.2	2.2	outdoor_corr_2	0.596	corr
158.4	2.2	err	1.183	err
162.8	2.2	outdoor_corr_2	0.845	corr
165.0	2.2	indoor_corr_2	0.896	corr
167.2	2.2	indoor_corr_3	0.563	corr
169.4	2.2	indoor_corr_3	0.693	corr
171.6	2.2	indoor_corr_3	0.893	corr
180.4	2.2	indoor_corr_3	0.678	corr
182.6	2.2	outdoor_corr_3	0.668	corr
184.8	2.2	outdoor_corr_3	0.646	corr
187.0	2.2	indoor_corr_3	0.973	corr
189.2	2.2	err	1.380	err
191.4	2.2	outdoor_corr_3	0.636	corr
193.6	2.2	outdoor_corr_3	0.605	corr
195.8	2.2	outdoor_corr_3	0.754	corr
204.6	2.2	indoor_corr_3	1.020	corr
206.8	2.2	outdoor_corr_3	0.752	corr
209.0	2.2	outdoor_corr_3	0.684	corr
215.6	2.2	outdoor_corr_3	1.022	corr
217.8	2.2	indoor_corr_3	0.998	corr
220.0	2.2	outdoor_corr_3	0.704	corr
224.4	2.2	outdoor_corr_3	0.994	corr
228.8	2.2	indoor_corr_3	1.085	corr
231.0	2.2	indoor_corr_3	0.727	corr
233.2	2.2	err	1.226	err
237.6	2.2	outdoor_corr_3	0.645	corr
239.8	2.2	err	0.631	err
244.2	2.2	indoor_corr_3	0.964	corr
